"Timestamp","Do you shop for fashion / clothing / footwear on Myntra?","Do you use the wishlist (heart / save) feature on Myntra?","Roughly how many items are on your Myntra wishlist right now?","In the last 3 months, have you wishlisted at least one item you liked but did NOT buy?","Your age group","What do you most often save to wishlist? (Select all that apply)","When you save items to wishlist, it's usually because… (Pick one)","What stops you from buying items on your wishlist? (Select up to 2) ","How much do you agree: ""I trust Myntra's size chart and reviews enough to buy wishlisted clothes without checking elsewhere"""," Before buying something you saved on Myntra, do you check outside the app? (Select all that apply)","Do you currently have multiple similar items saved on wishlist (e.g., 3 kurtas for one wedding)?","If this existed, how likely would you be to buy more items from your wishlist?","Which part of the Confidence Brief would matter most to you? (Pick one)","Describe the last time you wishlisted something on Myntra but didn't buy it. What happened?","If Myntra could fix one thing about wishlist so you buy more of what you save — what would it be?"
"2026/08/29 1:29:51 pm GMT+5:30","Yes, occasionally (every few months)","Yes, sometimes","3–10","Yes","20–24   ·","Western wear (dresses, tops, jeans);Accessories / bags","I'm waiting for a sale / better price","Confused between multiple saved items — can't decide","Neutral","Ask friends or family (WhatsApp, etc.)","Yes, often","Somewhat more likely","Size / fit recommendation for my body type","Found a better option elsewhere","Competitive prices "
"2026/08/29 1:41:44 pm GMT+5:30","Never","Yes, sometimes","1–2","Yes","25–29","Men's fashion;Accessories / bags","I'm comparing options before deciding","Not sure about size / fit / how it will look on me;Not sure about fabric / quality from photos;Worried about returns / delivery hassle","Somewhat disagree","YouTube / Instagram try-on or haul videos;Compare on AJIO / Amazon / other apps","Sometimes","No change","None of these would help","I was not sure about the quality of the fabric; I found some bad reviews ","Reviews and images of the customers wearing that cloth. "
"2026/08/29 1:45:09 pm GMT+5:30","Rarely","Rarely","1–2","No","20–24   ·","Men's fashion","I'm comparing options before deciding","Confused between multiple saved items — can't decide","Neutral","YouTube / Instagram try-on or haul videos;Ask friends or family (WhatsApp, etc.);Compare on AJIO / Amazon / other apps;Google search","No","Somewhat more likely","Size / fit recommendation for my body type","Got better choice ","."
"2026/08/29 1:56:35 pm GMT+5:30","Yes, occasionally (every few months)","Yes, sometimes","11–30","Yes","Under 20","Western wear (dresses, tops, jeans)","I'm comparing options before deciding","Waiting for sale / better price","Somewhat agree","Compare on AJIO / Amazon / other apps","Sometimes","Somewhat more likely","Occasion suitability (""works for wedding / office / casual"")","The last item was a footwear  for college  purpose","Pricing "
"2026/08/29 2:16:10 pm GMT+5:30","Yes, occasionally (every few months)","Yes, often — I save items instead of buying immediately","1–2","No","36+","Western wear (dresses, tops, jeans);Footwear;Men's fashion","I plan to buy it soon — just not right now","Waiting for sale / better price","Strongly agree","Compare on AJIO / Amazon / other apps","Sometimes","Somewhat more likely","Summary of what reviews say about fit","Price on other websites ","COD should be there for every single item "
"2026/08/29 2:38:38 pm GMT+5:30","Yes, occasionally (every few months)","Yes, sometimes","1–2","Yes","25–29","Men's fashion","I'm waiting for a sale / better price","Confused between multiple saved items — can't decide;Waiting for sale / better price","Neutral","Compare on AJIO / Amazon / other apps","Sometimes","Somewhat more likely","Summary of what reviews say about fit","About a month ago...but waiting for sale to buy it.","NA"
"2026/08/29 2:41:17 pm GMT+5:30","Rarely","Rarely","0","No","20–24   ·","Add ""Other"" option","Add ""Other"" option","I forgot why I saved it / lost interest","Strongly disagree","YouTube / Instagram try-on or haul videos;Ask friends or family (WhatsApp, etc.);Google search","No","Would not use it","None of these would help","Never bought from Myntra","Create less options and more variety so people can give clear cut options."
"2026/08/29 2:56:05 pm GMT+5:30","Yes, occasionally (every few months)","Yes, often — I save items instead of buying immediately","100+","Yes","25–29","Ethnic wear (kurta, saree, lehenga, etc.)·;Western wear (dresses, tops, jeans);Footwear;Activewear;Men's fashion;Accessories / bags","I'm comparing options before deciding","Not sure about size / fit / how it will look on me;Confused between multiple saved items — can't decide","Neutral","No — I decide only using Myntra","Yes, often","Somewhat more likely","Summary of what reviews say about fit","",""
"2026/08/29 3:43:28 pm GMT+5:30","Yes, regularly (at least once a month)","Yes, often — I save items instead of buying immediately","100+","Yes","20–24   ·","Ethnic wear (kurta, saree, lehenga, etc.)·;Western wear (dresses, tops, jeans);Footwear","I'm waiting for a sale / better price","Waiting for sale / better price;I forgot why I saved it / lost interest","Somewhat agree","No — I decide only using Myntra","Yes, often","Somewhat more likely","Compare this item vs other items on my wishlist","I forgot ","Better price and sale offer "
"2026/08/29 4:00:32 pm GMT+5:30","Rarely","Yes, sometimes","3–10","Yes","25–29","Men's fashion","I'm comparing options before deciding","Confused between multiple saved items — can't decide;Not sure about fabric / quality from photos","Strongly agree","YouTube / Instagram try-on or haul videos;Ask friends or family (WhatsApp, etc.);Compare on AJIO / Amazon / other apps;Google search","No","Somewhat more likely","Size / fit recommendation for my body type","Wishlisted one hoodie, but wasn't sure about the size and fabric quality. The reviews weren't that helpful, so had to go to an offline store just to see it. (The offline price was more, so didn't buy it 😅). 
All my doubts were clear after seeing it like which size to buy, and I was satisfied with the quality.
Got home, ready to place the order, and to my surprise, it was unavailable now 🤦🏻
Had to wait for a few days. It became available, so placed the order. But this time, the delivery partner didn't deliver it, and since there was no option to call the partner directly, the package was just roaming from one hub to another, which eventually resulted in the order being cancelled 🙂

Ultimately, didn't buy it the 2nd time either. It's still sitting on my wishlist 😂","Can offer some discounts, or price drop alerts notifications for wishlisted products, even minor price difference could result more buying"
